                     Time-step                Free-energy: Bulk           Free-energy: Interface               Free-energy: Total   
------------------------------   ------------------------------   ------------------------------   ------------------------------   
                             0              -0.378003240078E+04               0.450921243256E+04               0.729180031780E+03   
                            10                              NaN                              NaN                              NaN   
                            20                              NaN                              NaN                              NaN   
                            30                              NaN                              NaN                              NaN   
                            40                              NaN                              NaN                              NaN   
                            50                              NaN                              NaN                              NaN   
                            60                              NaN                              NaN                              NaN   
                            70                              NaN                              NaN                              NaN   
                            80                              NaN                              NaN                              NaN   
                            90                              NaN                              NaN                              NaN   
                           100                              NaN                              NaN                              NaN   
                           110                              NaN                              NaN                              NaN   
                           120                              NaN                              NaN                              NaN   
                           130                              NaN                              NaN                              NaN   
                           140                              NaN                              NaN                              NaN   
                           150                              NaN                              NaN                              NaN   
                           160                              NaN                              NaN                              NaN   
                           170                              NaN                              NaN                              NaN   
                           180                              NaN                              NaN                              NaN   
                           190                              NaN                              NaN                              NaN   
                           200                              NaN                              NaN                              NaN   
                           210                              NaN                              NaN                              NaN   
                           220                              NaN                              NaN                              NaN   
                           230                              NaN                              NaN                              NaN   
                           240                              NaN                              NaN                              NaN   
                           250                              NaN                              NaN                              NaN   
                           260                              NaN                              NaN                              NaN   
                           270                              NaN                              NaN                              NaN   
                           280                              NaN                              NaN                              NaN   
                           290                              NaN                              NaN                              NaN   
                           300                              NaN                              NaN                              NaN   
                           310                              NaN                              NaN                              NaN   
                           320                              NaN                              NaN                              NaN   
                           330                              NaN                              NaN                              NaN   
                           340                              NaN                              NaN                              NaN   
                           350                              NaN                              NaN                              NaN   
                           360                              NaN                              NaN                              NaN   
                           370                              NaN                              NaN                              NaN   
                           380                              NaN                              NaN                              NaN   
                           390                              NaN                              NaN                              NaN   
                           400                              NaN                              NaN                              NaN   
                           410                              NaN                              NaN                              NaN   
                           420                              NaN                              NaN                              NaN   
                           430                              NaN                              NaN                              NaN   
                           440                              NaN                              NaN                              NaN   
                           450                              NaN                              NaN                              NaN   
                           460                              NaN                              NaN                              NaN   
                           470                              NaN                              NaN                              NaN   
                           480                              NaN                              NaN                              NaN   
                           490                              NaN                              NaN                              NaN   
                           500                              NaN                              NaN                              NaN   
                           510                              NaN                              NaN                              NaN   
                           520                              NaN                              NaN                              NaN   
                           530                              NaN                              NaN                              NaN   
                           540                              NaN                              NaN                              NaN   
                           550                              NaN                              NaN                              NaN   
                           560                              NaN                              NaN                              NaN   
                           570                              NaN                              NaN                              NaN   
                           580                              NaN                              NaN                              NaN   
                           590                              NaN                              NaN                              NaN   
                           600                              NaN                              NaN                              NaN   
                           610                              NaN                              NaN                              NaN   
                           620                              NaN                              NaN                              NaN   
                           630                              NaN                              NaN                              NaN   
                           640                              NaN                              NaN                              NaN   
                           650                              NaN                              NaN                              NaN   
                           660                              NaN                              NaN                              NaN   
                           670                              NaN                              NaN                              NaN   
                           680                              NaN                              NaN                              NaN   
                           690                              NaN                              NaN                              NaN   
                           700                              NaN                              NaN                              NaN   
                           710                              NaN                              NaN                              NaN   
                           720                              NaN                              NaN                              NaN   
                           730                              NaN                              NaN                              NaN   
                           740                              NaN                              NaN                              NaN   
                           750                              NaN                              NaN                              NaN   
                           760                              NaN                              NaN                              NaN   
                           770                              NaN                              NaN                              NaN   
                           780                              NaN                              NaN                              NaN   
                           790                              NaN                              NaN                              NaN   
                           800                              NaN                              NaN                              NaN   
                           810                              NaN                              NaN                              NaN   
                           820                              NaN                              NaN                              NaN   
                           830                              NaN                              NaN                              NaN   
                           840                              NaN                              NaN                              NaN   
                           850                              NaN                              NaN                              NaN   
                           860                              NaN                              NaN                              NaN   
                           870                              NaN                              NaN                              NaN   
                           880                              NaN                              NaN                              NaN   
                           890                              NaN                              NaN                              NaN   
                           900                              NaN                              NaN                              NaN   
                           910                              NaN                              NaN                              NaN   
                           920                              NaN                              NaN                              NaN   
                           930                              NaN                              NaN                              NaN   
                           940                              NaN                              NaN                              NaN   
                           950                              NaN                              NaN                              NaN   
                           960                              NaN                              NaN                              NaN   
                           970                              NaN                              NaN                              NaN   
                           980                              NaN                              NaN                              NaN   
                           990                              NaN                              NaN                              NaN   
                          1000                              NaN                              NaN                              NaN   
