0    0.1706213413861959 0.8733742707856024 24000.0    240004.03601802594	8100000 35
1    0.2974522055724942 0.8177892194916588 5000.0    240004.03732429087	7851689 83
2    0.40791223038018776 0.3689773954675625 56000.0    10.489961550897117	2843454 242
3    0.47880764695162964 0.7722040666091051 6000.0    240004.03848220984	4174276 126
4    0.16694703707407466 0.5344209616376308 1000.0    34.34594346705206	7800000 181
5    0.4043616139603593 0.4583974597487548 25000.0    10.231711357774076	3533629 208
6    0.17296864573163728 0.7879029652639755 84000.0    240004.0357133361	8000000 43
7    0.8293689449635794 0.3816428313184198 58000.0    10.196941270067297	1428712 241
8    0.2674429391055325 0.7214270004061741 73000.0    28.64895271908215	6549124 151
9    0.6150444100108676 0.21004284525061642 90000.0    11.031888078182199	1400000 245
10    0.8602547919014187 0.28840598275334506 34000.0    9.59905830060256	1390337 247
11    0.18891587096682577 0.5718950184147639 88000.0    33.264277642160394	7700000 178
12    0.5953111862000046 0.14901596989597438 98000.0    15.288714331501547	1400000 252
13    0.6109047031659871 0.29627985534599666 77000.0    12.791016753146017	1944193 245
14    0.3734226905629626 0.8877829915508928 61000.0    240004.03599879722	5728950 104
15    0.9235633846921257 0.13021735001810975 95000.0    16.477909798373183	900000 239
16    0.8684718252237904 0.7028550762685736 25000.0    8.845772215354172	2005600 162
17    0.43491981726984363 0.37482070022198233 13000.0    10.901272683164525	2690481 240
18    0.21237131346849109 0.4157272078099399 36000.0    32.3682978528666	6098401 218
19    0.6595828617612836 0.31967394446633907 67000.0    10.701628964157305	1754659 245
20    0.4892366175810402 0.7970973229353564 73000.0    240004.03584463216	4500643 108
21    0.4310746607550608 0.5884706160974801 90000.0    11.78053890005063	3628522 183
22    0.16206877316665663 0.661747488784437 33000.0    240004.03589777986	7500000 93
23    0.4433319813869924 0.3738761702743483 3000.0    15.598508693402092	2635343 240
24    0.6161290550871192 0.2598914105012784 47000.0    12.68779097581892	1876722 252
25    0.14474992447039423 0.6876769775444258 42000.0    240004.03584324743	7900000 91
26    0.06571728472746202 0.48510760035099465 91000.0    240004.0356934311	8100000 46
27    0.14114193026968294 0.49784506608715196 12000.0    40.84610609688206	7900000 154
