0    0.1706213413861959 0.8733742707856024 33000.0    240002.73714051425	8000000 11
1    0.2974522055724942 0.8177892194916588 81000.0    240002.73697597368	7851688 79
2    0.40791223038018776 0.3689773954675625 95000.0    27.195499255787546	2843454 242
3    0.47880764695162964 0.7722040666091051 91000.0    240002.73705938665	4174276 127
4    0.16694703707407466 0.5344209616376308 84000.0    15.76721694601667	7500000 174
5    0.4043616139603593 0.4583974597487548 3000.0    29.801498559008195	3533629 208
6    0.17296864573163728 0.7879029652639755 19000.0    240002.73715416773	8100000 40
7    0.8293689449635794 0.3816428313184198 84000.0    35.39577056938061	1428712 240
8    0.2674429391055325 0.7214270004061741 54000.0    25.14212030908831	6549124 150
9    0.6150444100108676 0.21004284525061642 4000.0    35.69814482610287	1400000 244
10    0.8602547919014187 0.28840598275334506 15000.0    37.32511012113236	1390337 247
11    0.18891587096682577 0.5718950184147639 67000.0    33.155785338017836	7600000 176
12    0.5953111862000046 0.14901596989597438 73000.0    35.4784742037765	1400000 252
13    0.6109047031659871 0.29627985534599666 100000.0    36.2894827895928	1944193 245
14    0.3734226905629626 0.8877829915508928 2000.0    240002.74751797158	5728952 103
15    0.9235633846921257 0.13021735001810975 19000.0    33.118842062438866	900000 239
16    0.8684718252237904 0.7028550762685736 57000.0    30.170253898708715	2005600 161
17    0.43491981726984363 0.37482070022198233 45000.0    34.61651274047759	2690481 240
18    0.21237131346849109 0.4157272078099399 31000.0    33.54787992047693	6098401 218
19    0.6595828617612836 0.31967394446633907 74000.0    39.57897194461079	1754659 247
20    0.4892366175810402 0.7970973229353564 15000.0    240002.73782150756	4500643 106
21    0.4310746607550608 0.5884706160974801 17000.0    35.75958009038635	3628522 184
22    0.16206877316665663 0.661747488784437 38000.0    240002.73708808457	8000000 104
23    0.4433319813869924 0.3738761702743483 91000.0    31.804090783898967	2635341 241
24    0.6161290550871192 0.2598914105012784 29000.0    39.980509184591995	1876722 251
25    0.14474992447039423 0.6876769775444258 34000.0    240002.73711175306	7700000 88
26    0.06571728472746202 0.48510760035099465 30000.0    240002.7370054111	8000000 44
27    0.14114193026968294 0.49784506608715196 78000.0    240002.73698494493	7400000 142
28    0.8468564600115841 0.8178666059157628 85000.0    240002.73715323003	2758171 98
29    0.7459619435031115 0.7069794912108168 10000.0    29.434552628371147	2334122 161
30    0.5826243237314374 0.47718234188298236 78000.0    31.90791548897529	2460229 208
31    0.18182971189293295 0.175568906650659 5000.0    30.803961465493273	4600000 254
32    0.9451435217069885 0.20727939140060628 29000.0    42.945217878133185	900000 246
33    0.6491645750576565 0.6116545740764596 76000.0    33.99194241041993	2586148 174
34    0.46181529602273286 0.22467764825047773 89000.0    34.14921674503778	2000000 244
35    0.8694785336484951 0.6464370406311317 58000.0    32.951720866710986	2058842 162
36    0.1314234526970096 0.5528820205264295 19000.0    240002.73723277572	7800000 134
37    0.19233361112133057 0.48196355673279156 75000.0    32.45814080532336	7437618 199
38    0.85649135203437 0.21211553619130133 68000.0    43.52379160397067	1000000 243
39    0.3630732741216535 0.6072592878574379 18000.0    31.468622362498373	4563439 172
0    0.16694703707407466 0.5344209616376308 84000.0    15.76721694601667	7500000 174
1    0.2674429391055325 0.7214270004061741 54000.0    25.14212030908831	6549124 150
2    0.40791223038018776 0.3689773954675625 95000.0    27.195499255787546	2843454 242
3    0.7459619435031115 0.7069794912108168 10000.0    29.434552628371147	2334122 161
4    0.4043616139603593 0.4583974597487548 3000.0    29.801498559008195	3533629 208
5    0.8684718252237904 0.7028550762685736 57000.0    30.170253898708715	2005600 161
6    0.18182971189293295 0.175568906650659 5000.0    30.803961465493273	4600000 254
7    0.3630732741216535 0.6072592878574379 18000.0    31.468622362498373	4563439 172
8    0.4433319813869924 0.3738761702743483 91000.0    31.804090783898967	2635341 241
9    0.5826243237314374 0.47718234188298236 78000.0    31.90791548897529	2460229 208
10    0.16894002565083385 0.5288118201628534 81901.0    23.84009515214275	7500000 178
11    0.16982516752045163 0.5509869597235607 80491.0    30.475585987918173	7500000 171
12    0.1650605197920332 0.5368129629041325 80120.0    27.809157041992588	7900000 181
13    0.28051954453966554 0.7564149767875298 55275.0    240002.73708282746	6742403 133
14    0.2639763916512172 0.7259678013126062 52190.0    240002.73713935408	6666146 149
15    0.2607507706574483 0.7557994888527225 55486.0    240002.73706839702	7239350 132
16    0.4208245121741724 0.35216488253321043 91247.0    32.43693765615131	2716490 246
17    0.40423420228381113 0.3516312747386938 97627.0    32.79883850747696	2827420 244
18    0.3959971346663442 0.37380358107687833 91785.0    31.554620215106297	2950007 239
19    0.7576957928429706 0.6892566475792234 9948.0    36.329923341316736	2312465 161
