0    0.1706213413861959 0.8733742707856024 93000.0    239993.87271614905	8100000 23
1    0.2974522055724942 0.8177892194916588 46000.0    239993.87280310897	7500000 75
2    0.40791223038018776 0.3689773954675625 43000.0    32.404653552007844	2843454 241
3    0.47880764695162964 0.7722040666091051 11000.0    239993.87416621373	4174276 127
4    0.16694703707407466 0.5344209616376308 2000.0    47.943480059554666	7800000 181
5    0.4043616139603593 0.4583974597487548 5000.0    34.01307650790853	3533629 208
6    0.17296864573163728 0.7879029652639755 85000.0    239993.87268402177	8100000 47
7    0.8293689449635794 0.3816428313184198 48000.0    9.434238911314466	1428712 241
8    0.2674429391055325 0.7214270004061741 37000.0    30.677472246700123	6549124 151
9    0.6150444100108676 0.21004284525061642 62000.0    9.312653821047585	1400000 245
10    0.8602547919014187 0.28840598275334506 74000.0    9.062499554615489	1390337 249
11    0.18891587096682577 0.5718950184147639 31000.0    45.213757753433946	7700000 180
12    0.5953111862000046 0.14901596989597438 65000.0    5.2026795558182775	1400000 253
13    0.6109047031659871 0.29627985534599666 26000.0    28.742561573306798	1944193 245
14    0.3734226905629626 0.8877829915508928 42000.0    239993.87312817865	5728950 103
15    0.9235633846921257 0.13021735001810975 2000.0    23.58103560284873	900000 239
16    0.8684718252237904 0.7028550762685736 44000.0    25.13742845136663	2005600 162
17    0.43491981726984363 0.37482070022198233 69000.0    26.32569822535773	2690481 240
18    0.21237131346849109 0.4157272078099399 49000.0    20.72692783798957	6098401 217
19    0.6595828617612836 0.31967394446633907 77000.0    20.63328496815937	1754659 248
20    0.4892366175810402 0.7970973229353564 82000.0    239993.87279466636	4500643 106
21    0.4310746607550608 0.5884706160974801 87000.0    33.347979570830255	3628522 185
22    0.16206877316665663 0.661747488784437 100000.0    239993.87270296627	7800000 100
23    0.4433319813869924 0.3738761702743483 59000.0    27.642330256313496	2635341 240
24    0.6161290550871192 0.2598914105012784 82000.0    19.387343467031627	1876722 252
25    0.14474992447039423 0.6876769775444258 68000.0    239993.87274065928	7800000 91
26    0.06571728472746202 0.48510760035099465 80000.0    239993.87267088637	8000000 48
27    0.14114193026968294 0.49784506608715196 10000.0    32.43650976712269	7800000 151
28    0.8468564600115841 0.8178666059157628 40000.0    239993.87321742004	2758171 99
29    0.7459619435031115 0.7069794912108168 47000.0    43.623167009845865	2334122 161
30    0.5826243237314374 0.47718234188298236 41000.0    30.046760673426377	2460229 207
31    0.18182971189293295 0.175568906650659 24000.0    28.59464011171486	4600000 254
32    0.9451435217069885 0.20727939140060628 84000.0    20.690694693287664	900000 247
33    0.6491645750576565 0.6116545740764596 5000.0    25.4934148042796	2586148 173
34    0.46181529602273286 0.22467764825047773 43000.0    30.52139685756484	2000000 243
35    0.8694785336484951 0.6464370406311317 59000.0    24.84510514016612	2058842 163
36    0.1314234526970096 0.5528820205264295 49000.0    239993.87276074698	7500000 128
37    0.19233361112133057 0.48196355673279156 34000.0    43.7378576903917	7437618 199
38    0.85649135203437 0.21211553619130133 24000.0    21.17297663342125	1000000 243
39    0.3630732741216535 0.6072592878574379 67000.0    33.06150321566241	4563439 172
0    0.5953111862000046 0.14901596989597438 65000.0    5.2026795558182775	1400000 253
1    0.8602547919014187 0.28840598275334506 74000.0    9.062499554615489	1390337 249
2    0.6150444100108676 0.21004284525061642 62000.0    9.312653821047585	1400000 245
3    0.8293689449635794 0.3816428313184198 48000.0    9.434238911314466	1428712 241
4    0.6161290550871192 0.2598914105012784 82000.0    19.387343467031627	1876722 252
5    0.6595828617612836 0.31967394446633907 77000.0    20.63328496815937	1754659 248
6    0.9451435217069885 0.20727939140060628 84000.0    20.690694693287664	900000 247
7    0.21237131346849109 0.4157272078099399 49000.0    20.72692783798957	6098401 217
8    0.85649135203437 0.21211553619130133 24000.0    21.17297663342125	1000000 243
9    0.9235633846921257 0.13021735001810975 2000.0    23.58103560284873	900000 239
10    0.6024179214527371 0.14745193757473762 65766.0    6.9269575438321525	1400000 254
11    0.6055742209929539 0.15363517170367513 66410.0    14.651863166107988	1300000 242
12    0.5885841135867865 0.14968294670696602 67982.0    9.07128649691162	1400000 251
13    0.9023168950331756 0.3023931799432679 72032.0    14.240098638452977	1307475 245
14    0.8491043234355017 0.2902212657233053 70691.0    18.039408891304358	1406683 248
15    0.8387288170713103 0.30214712538388633 73399.0    25.443800243449854	1406997 245
16    0.6345133696213051 0.20047221004119056 64022.0    14.266984513325072	1300000 243
17    0.609498730200211 0.20016845024239274 62562.0    11.608072732870728	1400000 251
18    0.5970789937576857 0.21279018362294064 64896.0    12.057006432975054	1500000 250
19    0.8424147716737993 0.3720756567303835 45946.0    12.279389283455519	1382975 242
20    0.8702671167009958 0.3637414937812877 46482.0    14.337295993811129	1324463 245
21    0.817467509115115 0.3720004324883741 45798.0    9.852898811377804	1425018 242
22    0.5969007837562588 0.24983975124798435 78898.0    18.056390904123123	1800000 249
23    0.6278158257077514 0.26992819769129606 79685.0    24.592395776437336	1896959 249
24    0.6025264344008517 0.26485088246638233 80172.0    27.017428249750438	1954330 249
25    0.6665771979871405 0.30563943462433707 74487.0    21.26974824347483	1763249 246
26    0.6377238474067501 0.3328866433796814 75989.0    21.9608166231027	1796199 247
27    0.6771243933161875 0.3106209031725888 77168.0    20.541582814104366	1725837 246
28    0.9863911168232965 0.21123693999079748 83628.0    15.231023383139199	900000 254
29    0.9859872408032413 0.20267777037872178 81875.0    23.780551725054476	800000 235
30    0.9000322278525981 0.21601547064043503 80073.0    28.423566250158025	1000000 250
31    0.21129390110401058 0.4123709874857748 48837.0    39.675116277273844	6068672 220
32    0.21652010737608773 0.4104290687963016 49488.0    30.75197989809937	5888451 221
33    0.21057707470227632 0.4083202532297875 48394.0    31.277803583642815	6017572 222
34    0.882595828245705 0.21041668813375455 24387.0    17.719223993386336	1000000 251
35    0.8808686862009117 0.2163024518772897 22990.0    23.518984642910283	1000000 245
36    0.8565545442782758 0.2146378715436897 22993.0    21.173513624054305	1000000 240
37    0.9233102548925172 0.13059482596190936 2051.0    32.322069830915375	900000 240
38    0.9485172755865626 0.12410184364181065 1942.0    20.946678432214494	900000 239
39    0.9386946001327326 0.12727429624811704 2034.0    16.046013076450127	900000 240
0    0.5953111862000046 0.14901596989597438 65000.0    5.2026795558182775	1400000 253
